"","uniqid","at_sexviol","f_gender","age","politics_n","f_urban","f_occup","region","complete"
"4695",70002866,0,"Woman",54,7,"Small/middle town","Employed position, at desk","Western",TRUE
"4696",70002875,0,"Woman",24,5,"Small/middle town","Middle management, etc.","Western",TRUE
"4697",70002882,0,"Woman",79,7,"Large town","Retired, unable to work","Western",TRUE
"4698",70002883,3,"Man",84,6,"Large town","Retired, unable to work","Western",TRUE
"4699",70002900,0,"Man",39,4,"Large town","Middle management, etc.","Western",TRUE
"4700",70002903,0,"Man",65,6,"Large town","Retired, unable to work","Western",TRUE
"4701",70002910,2,"Man",87,4,"Large town","Retired, unable to work","Western",TRUE
"4702",70002931,0,"Woman",37,7,"Small/middle town","General management, etc.","Western",TRUE
"4703",70002932,0,"Woman",24,4,"Small/middle town","Supervisor","Western",TRUE
"4704",70002933,0,"Man",61,6,"Small/middle town","Professional (lawyer, etc.)","Western",TRUE
"4705",70002934,0,"Man",43,3,"Large town","Unemployed, temporarily not working","Western",TRUE
"4706",70002936,0,"Man",73,4,"Small/middle town","Retired, unable to work","Western",TRUE
"4707",70002937,0,"Man",21,8,"Large town","Unskilled manual worker, etc.","Western",TRUE
"4708",70002939,0,"Man",75,7,"Small/middle town","Retired, unable to work","Western",TRUE
"4709",70002943,5,"Man",90,6,"Small/middle town","Retired, unable to work","Western",TRUE
"4710",70002951,0,"Woman",75,7,"Small/middle town","Retired, unable to work","Western",TRUE
"4711",70002955,0,"Woman",39,10,"Large town","Employed position, at desk","Western",TRUE
"4712",70002957,0,"Woman",25,3,"Large town","General management, etc.","Western",TRUE
"4713",70002958,0,"Woman",42,5,"Large town","General management, etc.","Western",TRUE
"4714",70002968,0,"Woman",27,4,"Large town","Employed position, travelling","Western",TRUE
"4715",70002981,4,"Woman",37,7,"Small/middle town","Unemployed, temporarily not working","Western",TRUE
"4716",70002983,1,"Woman",41,5,"Small/middle town","Employed position, at desk","Western",TRUE
"4717",70002986,4,"Woman",43,5,"Small/middle town","Employed position, at desk","Western",TRUE
"4718",70002989,2,"Woman",65,5,"Small/middle town","Retired, unable to work","Western",TRUE
"4719",70002993,0,"Man",64,7,"Small/middle town","Owner of a shop, craftsmen, etc.","Western",TRUE
"4720",70003001,0,"Woman",50,3,"Small/middle town","Supervisor","Western",TRUE
"4721",70003002,0,"Woman",33,7,"Small/middle town","Middle management, etc.","Western",TRUE
"4722",70003042,4,"Woman",35,5,"Small/middle town","Unemployed, temporarily not working","Western",TRUE
"4723",70003044,3,"Man",53,3,"Small/middle town","Skilled manual worker","Western",TRUE
"4724",70003045,0,"Man",39,4,"Rural area or village","Owner of a shop, craftsmen, etc.","Western",TRUE
"4725",70003056,0,"Woman",39,2,"Rural area or village","Skilled manual worker","Western",TRUE
"4726",70003059,0,"Man",30,9,"Rural area or village","Skilled manual worker","Western",TRUE
"4727",70003069,0,"Man",35,5,"Small/middle town","Unemployed, temporarily not working","Western",TRUE
"4728",70003073,0,"Man",50,5,"Small/middle town","Supervisor","Western",TRUE
"4729",70003076,0,"Man",32,3,"Small/middle town","Professional (lawyer, etc.)","Western",TRUE
"4730",70003082,0,"Woman",68,8,"Small/middle town","Retired, unable to work","Western",TRUE
"4731",70003083,0,"Woman",66,5,"Small/middle town","Retired, unable to work","Western",TRUE
"4732",70003121,3,"Woman",51,8,"Small/middle town","Retired, unable to work","Western",TRUE
"4733",70003123,2,"Woman",67,6,"Large town","Retired, unable to work","Western",TRUE
"4734",70003127,0,"Woman",76,10,"Small/middle town","Retired, unable to work","Western",TRUE
"4735",70003132,0,"Man",41,10,"Small/middle town","Supervisor","Western",TRUE
"4736",70003135,0,"Woman",26,5,"Small/middle town","Responsible for ordinary shopping, etc.","Western",TRUE
"4737",70003138,0,"Woman",49,5,"Small/middle town","Employed position, service job","Western",TRUE
"4738",70003140,0,"Man",39,5,"Small/middle town","Unemployed, temporarily not working","Western",TRUE
"4739",70003141,0,"Woman",54,4,"Rural area or village","Middle management, etc.","Western",TRUE
"4740",70003144,0,"Woman",36,3,"Small/middle town","Employed position, service job","Western",TRUE
"4741",70003145,3,"Man",30,7,"Small/middle town","Owner of a shop, craftsmen, etc.","Western",TRUE
"4742",70003149,0,"Man",45,8,"Small/middle town","Employed position, travelling","Western",TRUE
"4743",70003150,2,"Woman",48,5,"Small/middle town","Employed position, service job","Western",TRUE
"4744",70003153,2,"Man",43,5,"Small/middle town","Skilled manual worker","Western",TRUE
"4745",70003155,0,"Woman",47,5,"Small/middle town","Middle management, etc.","Western",TRUE
"4746",70003156,0,"Man",57,5,"Small/middle town","General management, etc.","Western",TRUE
"4747",70003160,0,"Woman",69,4,"Rural area or village","Retired, unable to work","Western",TRUE
"4748",70003166,1,"Woman",45,8,"Small/middle town","Employed professional (employed doctor, etc.)","Western",TRUE
"4749",70003167,0,"Man",67,5,"Small/middle town","Retired, unable to work","Western",TRUE
"4750",70003170,2,"Woman",76,5,"Small/middle town","Retired, unable to work","Western",TRUE
"4751",70003172,0,"Woman",40,4,"Rural area or village","Unemployed, temporarily not working","Western",TRUE
"4752",70003174,0,"Man",81,10,"Rural area or village","Retired, unable to work","Western",TRUE
"4753",70003176,0,"Woman",46,5,"Small/middle town","Owner of a shop, craftsmen, etc.","Western",TRUE
"4754",70003178,0,"Woman",42,3,"Small/middle town","Employed position, service job","Western",TRUE
"4755",70003179,0,"Man",28,4,"Large town","Employed professional (employed doctor, etc.)","Western",TRUE
"4756",70003184,1,"Woman",42,5,"Small/middle town","Responsible for ordinary shopping, etc.","Western",TRUE
"4757",70003190,3,"Woman",65,8,"Small/middle town","Owner of a shop, craftsmen, etc.","Western",TRUE
"4758",70003193,0,"Woman",54,5,"Small/middle town","Employed position, service job","Western",TRUE
"4759",70003207,1,"Man",63,1,"Small/middle town","Retired, unable to work","Western",TRUE
"4760",70003212,0,"Woman",43,3,"Large town","Retired, unable to work","Western",TRUE
"4761",70003223,8,"Woman",64,10,"Small/middle town","Retired, unable to work","Western",TRUE
"4762",70003230,0,"Man",46,3,"Small/middle town","Responsible for ordinary shopping, etc.","Western",TRUE
"4763",70003231,5,"Man",53,5,"Rural area or village","Employed position, travelling","Western",TRUE
"4764",70003232,0,"Woman",36,3,"Small/middle town","Employed position, service job","Western",TRUE
"4765",70003233,0,"Woman",82,8,"Rural area or village","Retired, unable to work","Western",TRUE
"4766",70003243,2,"Woman",53,6,"Small/middle town","General management, etc.","Western",TRUE
"4767",70003247,0,"Woman",55,1,"Small/middle town","Unemployed, temporarily not working","Western",TRUE
"4768",70003256,2,"Man",64,3,"Small/middle town","Retired, unable to work","Western",TRUE
"4769",70003261,0,"Woman",39,3,"Small/middle town","Responsible for ordinary shopping, etc.","Western",TRUE
"4770",70003265,0,"Woman",43,7,"Small/middle town","Unskilled manual worker, etc.","Western",TRUE
"4771",70003270,0,"Man",69,7,"Small/middle town","Retired, unable to work","Western",TRUE
"4772",70003271,0,"Woman",69,5,"Small/middle town","Responsible for ordinary shopping, etc.","Western",TRUE
"4773",70003274,0,"Woman",77,5,"Small/middle town","Retired, unable to work","Western",TRUE
"4774",70003277,0,"Man",79,4,"Small/middle town","Retired, unable to work","Western",TRUE
"4775",70003279,0,"Woman",65,5,"Rural area or village","Employed position, service job","Western",TRUE
"4776",70003282,0,"Woman",40,4,"Rural area or village","Employed position, travelling","Western",TRUE
"4777",70003283,0,"Woman",41,6,"Small/middle town","Employed position, at desk","Western",TRUE
"4778",70003290,0,"Woman",45,3,"Small/middle town","Employed position, service job","Western",TRUE
"4779",70003294,1,"Man",65,1,"Small/middle town","Retired, unable to work","Western",TRUE
"4780",70003301,0,"Man",65,4,"Small/middle town","Retired, unable to work","Western",TRUE
"4781",70003313,0,"Woman",68,1,"Large town","Retired, unable to work","Western",TRUE
"4782",70003322,0,"Woman",72,5,"Small/middle town","Retired, unable to work","Western",TRUE
"4783",70003346,0,"Woman",90,7,"Small/middle town","Retired, unable to work","Western",TRUE
"4784",70003354,0,"Woman",55,3,"Small/middle town","Middle management, etc.","Western",TRUE
"4785",70003365,0,"Man",24,3,"Rural area or village","Employed position, service job","Western",TRUE
"4786",70003368,0,"Man",56,2,"Small/middle town","Unemployed, temporarily not working","Western",TRUE
"4787",70003372,0,"Man",16,3,"Small/middle town","Student","Western",TRUE
"4788",70003391,3,"Man",55,5,"Small/middle town","Skilled manual worker","Western",TRUE
"4789",70003415,0,"Woman",29,5,"Small/middle town","Employed position, at desk","Western",TRUE
"4790",70003420,0,"Man",57,5,"Small/middle town","Skilled manual worker","Western",TRUE
"4791",70003422,2,"Woman",23,6,"Small/middle town","Responsible for ordinary shopping, etc.","Western",TRUE
"4792",70003441,0,"Man",47,7,"Rural area or village","Supervisor","Western",TRUE
"4793",70003443,0,"Woman",80,5,"Small/middle town","Retired, unable to work","Western",TRUE
"4794",70003448,0,"Woman",41,4,"Small/middle town","General management, etc.","Western",TRUE
"4795",70003458,0,"Man",40,4,"Large town","Middle management, etc.","Western",TRUE
"4796",70003459,0,"Woman",25,5,"Large town","Middle management, etc.","Western",TRUE
"4797",70003464,0,"Woman",34,4,"Large town","Unemployed, temporarily not working","Western",TRUE
"4798",70003470,4,"Man",37,5,"Rural area or village","Unemployed, temporarily not working","Western",TRUE
"4799",70003471,0,"Man",46,3,"Small/middle town","General management, etc.","Western",TRUE
"4800",70003472,0,"Woman",73,10,"Small/middle town","Responsible for ordinary shopping, etc.","Western",TRUE
"4801",70003475,0,"Woman",46,4,"Small/middle town","General management, etc.","Western",TRUE
"4802",70003485,0,"Woman",35,5,"Small/middle town","Skilled manual worker","Western",TRUE
"4803",70003486,0,"Man",47,10,"Small/middle town","Unemployed, temporarily not working","Western",TRUE
"4804",70003489,2,"Man",48,2,"Large town","Middle management, etc.","Western",TRUE
"4805",70003493,0,"Woman",52,6,"Small/middle town","Middle management, etc.","Western",TRUE
"4806",70003496,0,"Man",32,10,"Rural area or village","Unemployed, temporarily not working","Western",TRUE
"4807",70003499,0,"Woman",42,6,"Rural area or village","Middle management, etc.","Western",TRUE
"4808",70003500,0,"Woman",40,3,"Rural area or village","Middle management, etc.","Western",TRUE
"4809",70003501,0,"Man",71,2,"Rural area or village","Retired, unable to work","Western",TRUE
"4810",70003503,0,"Man",76,1,"Rural area or village","Retired, unable to work","Western",TRUE
"4811",70003505,0,"Man",30,6,"Rural area or village","Employed position, at desk","Western",TRUE
"4812",70003520,0,"Woman",76,7,"Small/middle town","Retired, unable to work","Western",TRUE
"4813",70003521,2,"Man",48,1,"Small/middle town","Employed position, travelling","Western",TRUE
"4814",70003524,0,"Woman",53,5,"Small/middle town","Employed position, service job","Western",TRUE
"4815",70003541,1,"Man",77,4,"Rural area or village","Farmer","Western",TRUE
"4816",70003545,0,"Man",32,3,"Small/middle town","Skilled manual worker","Western",TRUE
"4817",70003562,0,"Man",19,4,"Small/middle town","Student","Western",TRUE
"4818",70003576,0,"Man",48,5,"Rural area or village","Unskilled manual worker, etc.","Western",TRUE
"4819",70003579,4,"Man",73,3,"Small/middle town","Retired, unable to work","Western",TRUE
"4820",70003580,0,"Man",61,2,"Large town","General management, etc.","Western",TRUE
"4821",70003582,0,"Woman",43,5,"Rural area or village","Employed professional (employed doctor, etc.)","Western",TRUE
"4822",70003587,5,"Woman",53,5,"Small/middle town","Responsible for ordinary shopping, etc.","Western",TRUE
"4823",70003589,0,"Woman",19,5,"Small/middle town","Student","Western",TRUE
"4824",70003590,3,"Man",36,5,"Small/middle town","Employed position, travelling","Western",TRUE
"4825",70003604,5,"Woman",63,5,"Small/middle town","Retired, unable to work","Western",TRUE
"4826",70003609,2,"Woman",46,7,"Small/middle town","Retired, unable to work","Western",TRUE
"4827",70003623,0,"Woman",27,7,"Large town","Employed position, service job","Western",TRUE
"4828",70003625,4,"Woman",26,7,"Large town","Unemployed, temporarily not working","Western",TRUE
"4829",70003630,0,"Woman",64,3,"Large town","Retired, unable to work","Western",TRUE
"4830",70003631,1,"Woman",70,5,"Large town","Retired, unable to work","Western",TRUE
"4831",70003634,0,"Woman",54,5,"Large town","Employed position, service job","Western",TRUE
"4832",70003638,0,"Woman",37,10,"Large town","Skilled manual worker","Western",TRUE
"4833",70003645,0,"Man",50,5,"Rural area or village","Owner of a shop, craftsmen, etc.","Western",TRUE
"4834",70003649,0,"Woman",19,5,"Small/middle town","Student","Western",TRUE
"4835",70003651,0,"Man",55,1,"Small/middle town","Unemployed, temporarily not working","Western",TRUE
"4836",70003652,0,"Woman",62,10,"Small/middle town","Retired, unable to work","Western",TRUE
"4837",70003656,0,"Woman",36,5,"Rural area or village","Responsible for ordinary shopping, etc.","Western",TRUE
"4838",70003662,0,"Man",23,6,"Small/middle town","Student","Western",TRUE
"4839",70003669,2,"Woman",75,5,"Small/middle town","Retired, unable to work","Western",TRUE
"4840",70003672,0,"Man",43,1,"Small/middle town","Skilled manual worker","Western",TRUE
"4841",70003673,4,"Woman",76,4,"Small/middle town","Retired, unable to work","Western",TRUE
"4842",70003674,5,"Woman",43,5,"Small/middle town","Employed position, service job","Western",TRUE
"4843",70003675,0,"Man",20,4,"Small/middle town","Skilled manual worker","Western",TRUE
"4844",70003677,3,"Man",79,6,"Rural area or village","Retired, unable to work","Western",TRUE
"4845",70003689,0,"Man",51,5,"Small/middle town","General management, etc.","Western",TRUE
"4846",70003692,0,"Woman",25,9,"Rural area or village","Supervisor","Western",TRUE
"4847",70003694,6,"Woman",27,3,"Small/middle town","Employed position, service job","Western",TRUE
"4848",70003709,0,"Woman",17,3,"Small/middle town","Student","Western",TRUE
"4849",70003710,3,"Man",38,6,"Large town","Middle management, etc.","Western",TRUE
"4850",70003715,0,"Woman",56,5,"Small/middle town","Middle management, etc.","Western",TRUE
"4851",70003741,0,"Woman",27,5,"Small/middle town","Employed position, service job","Western",TRUE
"4852",70003749,2,"Man",29,5,"Small/middle town","Employed position, service job","Western",TRUE
"4853",70003750,0,"Woman",37,4,"Small/middle town","Employed position, service job","Western",TRUE
"4854",70003754,0,"Man",48,3,"Small/middle town","Skilled manual worker","Western",TRUE
"4855",70003757,1,"Man",16,6,"Small/middle town","Student","Western",TRUE
"4856",70003764,6,"Woman",77,6,"Small/middle town","Retired, unable to work","Western",TRUE
"4857",70003766,0,"Man",35,5,"Rural area or village","Skilled manual worker","Western",TRUE
"4858",70003773,0,"Man",67,5,"Small/middle town","Retired, unable to work","Western",TRUE
"4859",70003780,0,"Woman",38,5,"Rural area or village","Supervisor","Western",TRUE
"4860",70003784,0,"Man",28,4,"Small/middle town","Middle management, etc.","Western",TRUE
"4861",70003789,0,"Man",70,6,"Small/middle town","Retired, unable to work","Western",TRUE
"4862",70003791,0,"Woman",56,5,"Small/middle town","Unemployed, temporarily not working","Western",TRUE
"4863",70003792,0,"Man",86,7,"Rural area or village","Retired, unable to work","Western",TRUE
"4864",70003793,0,"Woman",70,6,"Small/middle town","Retired, unable to work","Western",TRUE
"4865",70003800,0,"Woman",55,7,"Small/middle town","Owner of a shop, craftsmen, etc.","Western",TRUE
"4866",70003801,2,"Man",88,7,"Small/middle town","Retired, unable to work","Western",TRUE
"4867",70003804,0,"Woman",73,3,"Small/middle town","Retired, unable to work","Western",TRUE
"4868",70003805,1,"Man",57,7,"Small/middle town","Business proprietors, etc.","Western",TRUE
"4869",70003806,0,"Man",72,7,"Small/middle town","Retired, unable to work","Western",TRUE
"4870",70003809,2,"Woman",69,6,"Small/middle town","Retired, unable to work","Western",TRUE
"4871",70003813,0,"Man",81,7,"Small/middle town","Retired, unable to work","Western",TRUE
"4872",80000011,0,"Man",73,9,"Large town","Retired, unable to work","Western",TRUE
"4873",80000014,0,"Man",45,6,"Large town","Employed professional (employed doctor, etc.)","Western",TRUE
"4874",80000015,0,"Woman",27,5,"Large town","Owner of a shop, craftsmen, etc.","Western",TRUE
"4875",80000028,0,"Woman",41,3,"Large town","Unemployed, temporarily not working","Western",TRUE
"4876",80000030,0,"Man",37,5,"Large town","Employed position, service job","Western",TRUE
"4877",80000032,0,"Woman",38,4,"Large town","Student","Western",TRUE
"4878",80000034,0,"Man",37,7,"Large town","Employed professional (employed doctor, etc.)","Western",TRUE
"4879",80000039,0,"Woman",42,6,"Large town","Employed position, at desk","Western",TRUE
"4880",80000042,2,"Woman",35,5,"Small/middle town","General management, etc.","Western",TRUE
"4881",80000043,3,"Woman",18,6,"Small/middle town","Student","Western",TRUE
"4882",80000044,5,"Woman",19,6,"Small/middle town","Student","Western",TRUE
"4883",80000045,3,"Man",37,5,"Small/middle town","Employed professional (employed doctor, etc.)","Western",TRUE
"4884",80000047,6,"Woman",72,8,"Small/middle town","Retired, unable to work","Western",TRUE
"4885",80000049,0,"Man",70,8,"Small/middle town","Retired, unable to work","Western",TRUE
"4886",80000050,0,"Woman",50,8,"Small/middle town","Middle management, etc.","Western",TRUE
"4887",80000053,0,"Woman",39,5,"Small/middle town","Employed position, at desk","Western",TRUE
"4888",80000058,8,"Woman",65,7,"Small/middle town","Unemployed, temporarily not working","Western",TRUE
"4889",80000073,4,"Man",70,5,"Rural area or village","Retired, unable to work","Western",TRUE
"4890",80000077,4,"Man",78,9,"Rural area or village","Retired, unable to work","Western",TRUE
"4891",80000078,7,"Woman",89,4,"Rural area or village","Responsible for ordinary shopping, etc.","Western",TRUE
"4892",80000080,0,"Man",50,5,"Rural area or village","Middle management, etc.","Western",TRUE
"4893",80000081,7,"Woman",71,8,"Rural area or village","Responsible for ordinary shopping, etc.","Western",TRUE
"4894",80000085,0,"Woman",49,8,"Rural area or village","Responsible for ordinary shopping, etc.","Western",TRUE
"4895",80000087,7,"Woman",80,6,"Rural area or village","Responsible for ordinary shopping, etc.","Western",TRUE
"4896",80000088,9,"Woman",65,4,"Rural area or village","Responsible for ordinary shopping, etc.","Western",TRUE
"4897",80000094,0,"Man",56,2,"Small/middle town","Employed position, service job","Western",TRUE
"4898",80000100,0,"Woman",64,7,"Small/middle town","Retired, unable to work","Western",TRUE
"4899",80000101,0,"Man",33,5,"Small/middle town","Owner of a shop, craftsmen, etc.","Western",TRUE
"4900",80000108,0,"Woman",34,6,"Small/middle town","Employed position, service job","Western",TRUE
"4901",80000116,0,"Woman",29,5,"Small/middle town","Supervisor","Western",TRUE
"4902",80000128,0,"Man",26,6,"Small/middle town","Employed position, service job","Western",TRUE
"4903",80000131,0,"Man",70,8,"Small/middle town","Retired, unable to work","Western",TRUE
"4904",80000134,0,"Woman",60,10,"Small/middle town","Retired, unable to work","Western",TRUE
"4905",80000136,3,"Man",19,5,"Small/middle town","Student","Western",TRUE
"4906",80000138,0,"Man",36,5,"Small/middle town","Skilled manual worker","Western",TRUE
"4907",80000143,9,"Man",69,6,"Large town","Retired, unable to work","Western",TRUE
"4908",80000147,0,"Woman",21,5,"Large town","Student","Western",TRUE
"4909",80000151,1,"Man",65,8,"Large town","Retired, unable to work","Western",TRUE
"4910",80000154,0,"Woman",65,5,"Large town","Retired, unable to work","Western",TRUE
"4911",80000155,0,"Man",66,4,"Large town","Retired, unable to work","Western",TRUE
"4912",80000163,0,"Woman",87,5,"Large town","Responsible for ordinary shopping, etc.","Western",TRUE
"4913",80000164,0,"Man",64,5,"Large town","Employed position, service job","Western",TRUE
"4914",80000171,0,"Woman",60,5,"Large town","Employed position, at desk","Western",TRUE
"4915",80000172,0,"Woman",75,5,"Large town","Responsible for ordinary shopping, etc.","Western",TRUE
"4916",80000188,0,"Woman",59,5,"Rural area or village","Skilled manual worker","Western",TRUE
"4917",80000212,0,"Woman",32,5,"Large town","Middle management, etc.","Western",TRUE
"4918",80000214,1,"Woman",45,5,"Large town","Middle management, etc.","Western",TRUE
"4919",80000226,0,"Man",67,4,"Rural area or village","Retired, unable to work","Western",TRUE
"4920",80000229,0,"Woman",66,5,"Small/middle town","Retired, unable to work","Western",TRUE
"4921",80000231,1,"Man",68,5,"Small/middle town","Retired, unable to work","Western",TRUE
"4922",80000236,0,"Woman",64,5,"Rural area or village","Retired, unable to work","Western",TRUE
"4923",80000240,0,"Man",40,4,"Large town","Middle management, etc.","Western",TRUE
"4924",80000241,0,"Woman",46,5,"Large town","Student","Western",TRUE
"4925",80000244,0,"Man",52,5,"Large town","Employed position, at desk","Western",TRUE
"4926",80000245,0,"Man",18,3,"Large town","Student","Western",TRUE
"4927",80000246,0,"Woman",52,5,"Large town","Responsible for ordinary shopping, etc.","Western",TRUE
"4928",80000258,0,"Woman",50,4,"Large town","Employed professional (employed doctor, etc.)","Western",TRUE
"4929",80000259,0,"Man",58,1,"Large town","Retired, unable to work","Western",TRUE
"4930",80000262,6,"Man",75,6,"Rural area or village","Responsible for ordinary shopping, etc.","Western",TRUE
"4931",80000265,4,"Woman",77,4,"Rural area or village","Responsible for ordinary shopping, etc.","Western",TRUE
"4932",80000268,5,"Man",72,8,"Rural area or village","Retired, unable to work","Western",TRUE
"4933",80000269,0,"Woman",57,6,"Rural area or village","Responsible for ordinary shopping, etc.","Western",TRUE
"4934",80000274,7,"Man",60,7,"Rural area or village","Retired, unable to work","Western",TRUE
"4935",80000278,7,"Woman",50,6,"Rural area or village","Responsible for ordinary shopping, etc.","Western",TRUE
"4936",80000279,6,"Woman",72,9,"Rural area or village","Responsible for ordinary shopping, etc.","Western",TRUE
"4937",80000285,0,"Woman",60,1,"Small/middle town","Unemployed, temporarily not working","Western",TRUE
"4938",80000286,0,"Woman",18,5,"Small/middle town","Unemployed, temporarily not working","Western",TRUE
"4939",80000293,0,"Woman",62,8,"Small/middle town","Unskilled manual worker, etc.","Western",TRUE
"4940",80000295,0,"Man",21,5,"Small/middle town","Unemployed, temporarily not working","Western",TRUE
"4941",80000297,0,"Woman",58,8,"Small/middle town","Responsible for ordinary shopping, etc.","Western",TRUE
"4942",80000298,0,"Woman",34,5,"Small/middle town","Unskilled manual worker, etc.","Western",TRUE
"4943",80000301,0,"Man",30,5,"Small/middle town","Unemployed, temporarily not working","Western",TRUE
"4944",80000313,3,"Man",15,5,"Small/middle town","Student","Western",TRUE
"4945",80000314,0,"Woman",21,5,"Small/middle town","Employed position, service job","Western",TRUE
"4946",80000315,6,"Man",59,7,"Small/middle town","Unemployed, temporarily not working","Western",TRUE
"4947",80000319,2,"Woman",70,8,"Small/middle town","Retired, unable to work","Western",TRUE
"4948",80000320,0,"Man",87,5,"Small/middle town","Retired, unable to work","Western",TRUE
"4949",80000332,0,"Woman",39,7,"Small/middle town","Unskilled manual worker, etc.","Western",TRUE
"4950",80000333,2,"Woman",74,5,"Small/middle town","Retired, unable to work","Western",TRUE
"4951",80000343,0,"Man",31,5,"Rural area or village","Middle management, etc.","Western",TRUE
"4952",80000344,0,"Woman",37,3,"Rural area or village","Middle management, etc.","Western",TRUE
"4953",80000345,1,"Woman",47,6,"Rural area or village","Skilled manual worker","Western",TRUE
"4954",80000351,0,"Man",35,5,"Small/middle town","Supervisor","Western",TRUE
"4955",80000352,0,"Man",38,5,"Small/middle town","Employed professional (employed doctor, etc.)","Western",TRUE
"4956",80000356,0,"Woman",33,5,"Small/middle town","Unskilled manual worker, etc.","Western",TRUE
"4957",80000357,3,"Woman",42,5,"Rural area or village","Unskilled manual worker, etc.","Western",TRUE
"4958",80000358,0,"Woman",36,4,"Small/middle town","Employed professional (employed doctor, etc.)","Western",TRUE
"4959",80000375,1,"Man",38,6,"Rural area or village","Employed professional (employed doctor, etc.)","Western",TRUE
"4960",80000376,0,"Woman",35,1,"Rural area or village","Employed position, at desk","Western",TRUE
"4961",80000380,4,"Man",40,7,"Small/middle town","Employed professional (employed doctor, etc.)","Western",TRUE
"4962",80000381,5,"Woman",36,5,"Small/middle town","Employed professional (employed doctor, etc.)","Western",TRUE
"4963",80000382,9,"Man",74,10,"Small/middle town","Retired, unable to work","Western",TRUE
"4964",80000383,0,"Woman",55,5,"Small/middle town","Unemployed, temporarily not working","Western",TRUE
"4965",80000387,0,"Man",55,6,"Small/middle town","Unemployed, temporarily not working","Western",TRUE
"4966",80000388,0,"Woman",75,5,"Small/middle town","Retired, unable to work","Western",TRUE
"4967",80000389,0,"Woman",69,5,"Small/middle town","Retired, unable to work","Western",TRUE
"4968",80000390,3,"Woman",21,4,"Small/middle town","Unemployed, temporarily not working","Western",TRUE
"4969",80000393,0,"Man",25,5,"Small/middle town","Student","Western",TRUE
"4970",80000396,3,"Man",23,4,"Small/middle town","Unemployed, temporarily not working","Western",TRUE
"4971",80000397,2,"Man",35,6,"Small/middle town","Employed position, service job","Western",TRUE
"4972",80000398,3,"Woman",60,7,"Small/middle town","Retired, unable to work","Western",TRUE
"4973",80000403,0,"Woman",62,4,"Large town","Responsible for ordinary shopping, etc.","Western",TRUE
"4974",80000404,0,"Man",40,5,"Large town","Unskilled manual worker, etc.","Western",TRUE
"4975",80000409,0,"Woman",40,4,"Large town","Responsible for ordinary shopping, etc.","Western",TRUE
"4976",80000410,0,"Man",24,6,"Large town","Employed position, at desk","Western",TRUE
"4977",80000411,0,"Woman",30,4,"Large town","Business proprietors, etc.","Western",TRUE
"4978",80000423,0,"Woman",84,8,"Large town","Retired, unable to work","Western",TRUE
"4979",80000425,0,"Man",87,3,"Large town","Retired, unable to work","Western",TRUE
"4980",80000430,0,"Woman",49,3,"Large town","Middle management, etc.","Western",TRUE
"4981",80000445,1,"Man",65,6,"Large town","Business proprietors, etc.","Western",TRUE
"4982",80000446,2,"Man",81,4,"Large town","Responsible for ordinary shopping, etc.","Western",TRUE
"4983",80000448,7,"Woman",35,5,"Rural area or village","Employed professional (employed doctor, etc.)","Western",TRUE
"4984",80000449,9,"Woman",30,5,"Rural area or village","Middle management, etc.","Western",TRUE
"4985",80000452,9,"Woman",24,5,"Rural area or village","Employed position, at desk","Western",TRUE
"4986",80000456,9,"Man",33,5,"Rural area or village","Unskilled manual worker, etc.","Western",TRUE
"4987",80000457,3,"Man",57,1,"Rural area or village","Retired, unable to work","Western",TRUE
"4988",80000458,6,"Woman",19,5,"Rural area or village","Student","Western",TRUE
"4989",80000459,0,"Man",40,6,"Rural area or village","Employed professional (employed doctor, etc.)","Western",TRUE
"4990",80000463,9,"Woman",34,5,"Rural area or village","Employed professional (employed doctor, etc.)","Western",TRUE
"4991",80000464,9,"Woman",66,5,"Rural area or village","Retired, unable to work","Western",TRUE
"4992",80000465,5,"Man",65,5,"Rural area or village","Employed professional (employed doctor, etc.)","Western",TRUE
"4993",80000466,9,"Man",64,5,"Rural area or village","Retired, unable to work","Western",TRUE
"4994",80000467,9,"Man",78,4,"Rural area or village","Retired, unable to work","Western",TRUE
"4995",80000468,4,"Woman",38,5,"Rural area or village","Employed position, service job","Western",TRUE
"4996",80000469,0,"Man",48,5,"Rural area or village","Responsible for ordinary shopping, etc.","Western",TRUE
"4997",80000471,0,"Man",30,6,"Rural area or village","Skilled manual worker","Western",TRUE
"4998",80000473,0,"Man",38,4,"Rural area or village","Middle management, etc.","Western",TRUE
"4999",80000479,0,"Woman",66,8,"Rural area or village","Retired, unable to work","Western",TRUE
"5000",80000487,0,"Man",38,8,"Rural area or village","Middle management, etc.","Western",TRUE
"5001",80000502,0,"Woman",32,5,"Rural area or village","Employed position, at desk","Western",TRUE
"5002",80000503,1,"Man",68,6,"Rural area or village","Retired, unable to work","Western",TRUE
"5003",80000505,0,"Woman",35,5,"Large town","Responsible for ordinary shopping, etc.","Western",TRUE
"5004",80000513,0,"Woman",46,5,"Large town","Skilled manual worker","Western",TRUE
"5005",80000523,0,"Man",42,6,"Large town","Employed position, service job","Western",TRUE
"5006",80000525,0,"Man",38,5,"Large town","Employed position, travelling","Western",TRUE
"5007",80000526,2,"Man",85,7,"Large town","Retired, unable to work","Western",TRUE
"5008",80000527,0,"Woman",45,5,"Large town","Middle management, etc.","Western",TRUE
"5009",80000531,0,"Woman",72,7,"Large town","Retired, unable to work","Western",TRUE
